,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positivityRate,datetime
0,20200912,AK,7131.0,392498.0,,32.0,,,,8.0,,2377.0,A,9/12/2020 03:59,2020-09-12T03:59:00Z,09/11 23:59,44.0,,2020-09-12T03:59:00Z,399629.0,6428.0,392921.0,7131.0,44.0,,,,,,,,,,,,,,2,107,4936,399629,posNeg,399629.0,5043,399629,1,0,6ed96581d6f283512d613fd9d8effc30816ecb45,0,0,0,0,0,,0.017844050356705846,2020-09-12
1,20200912,AL,137646.0,878723.0,,793.0,15527.0,,1608.0,,891.0,54223.0,B,9/12/2020 11:00,2020-09-12T11:00:00Z,09/12 07:00,2350.0,15527.0,2020-09-12T11:00:00Z,1003546.0,,,124823.0,2217.0,133.0,,,,,,55442.0,,,,,,,1,943,4504,1016369,posNeg,1016369.0,5447,1016369,17,0,1cd15fd36fcc8ee078e9743aa31ef3556e720326,0,0,0,0,0,,0.13542916007867223,2020-09-12
2,20200912,AR,69710.0,750290.0,,325.0,4678.0,170.0,,68.0,597.0,62622.0,A+,9/11/2020 14:35,2020-09-11T14:35:00Z,09/11 10:35,969.0,4678.0,2020-09-11T14:35:00Z,820354.0,,750290.0,68542.0,,,,,,,,,,,,,17549.0,2709.0,5,727,20915,820000,posNeg,820000.0,21642,820000,16,0,dbb33b17658ac1e96621deb25f7dc7f29893e1d5,0,0,0,0,0,,0.08501219512195123,2020-09-12
3,20200912,AS,0.0,1571.0,,,,,,,,,C,9/1/2020 00:00,2020-09-01T00:00:00Z,08/31 20:00,0.0,,2020-09-01T00:00:00Z,1571.0,,,0.0,,,,,,,,,,,,,,,60,0,0,1571,posNeg,1571.0,0,1571,0,0,ca96fa86c9a0c4210a96c86ab92800701dce88ad,0,0,0,0,0,,0.0,2020-09-12
4,20200912,AZ,208128.0,1080601.0,,574.0,21773.0,185.0,,93.0,,32628.0,A+,9/12/2020 00:00,2020-09-12T00:00:00Z,09/11 20:00,5315.0,21773.0,2020-09-12T00:00:00Z,1286824.0,,,206223.0,5041.0,274.0,,,276179.0,,,,,,,,,,4,605,8700,1288729,posNeg,1288729.0,9305,1288729,27,26,db0c2cfab2010f171b4a7b39a6a0654d5187820d,0,0,0,0,0,,0.16149865487623852,2020-09-12
5,20200912,CA,750298.0,11806669.0,,3848.0,,1120.0,,,,,B,9/12/2020 02:59,2020-09-12T02:59:00Z,09/11 22:59,14251.0,,2020-09-12T02:59:00Z,12556967.0,,,750298.0,,,,,,,,,,,,,,,6,4107,101200,12556967,posNeg,12556967.0,105307,12556967,162,0,acc205e35bf0b160647dcb0e8d5ff8e8510b5d48,0,0,0,0,0,,0.05975153076375848,2020-09-12
6,20200912,CO,60492.0,709735.0,,232.0,7208.0,,,,,6139.0,A+,9/11/2020 01:59,2020-09-11T01:59:00Z,09/10 21:59,1889.0,7208.0,2020-09-11T01:59:00Z,,,,56378.0,,,1097985.0,766113.0,162325.0,11252.0,151073.0,,,,,,,,8,307,5238,770227,totalTestEncountersViral,1097985.0,10786,770227,0,22,0d3f7ad5f13df8e0bc26f4346262fcb370d5ff97,0,0,0,0,0,,0.055093648820339076,2020-09-12
7,20200912,CT,54326.0,1276658.0,,51.0,11357.0,,,,,9142.0,B,9/10/2020 20:30,2020-09-10T20:30:00Z,09/10 16:30,4480.0,11357.0,2020-09-10T20:30:00Z,1328753.0,,,52095.0,3595.0,885.0,,,,,,,,,,,,,9,0,0,1330984,posNeg,1330984.0,0,1330984,0,0,5d1caef4558d54c252bb89a98ec83c654656b62e,0,0,0,0,0,,0.04081641852944889,2020-09-12
8,20200912,DC,14552.0,312885.0,,98.0,,24.0,,12.0,,11561.0,A+,9/11/2020 00:00,2020-09-11T00:00:00Z,09/10 20:00,616.0,,2020-09-11T00:00:00Z,,,,,,,327437.0,,,,,,,,,,,,11,59,5942,327437,posNeg,327437.0,6001,327437,0,0,47411f49c67c893f44159822bc0fa33a6ef14fc1,0,0,0,0,0,,0.044442136960697785,2020-09-12
9,20200912,DE,18726.0,240859.0,,66.0,,15.0,,,,10063.0,A+,9/11/2020 18:00,2020-09-11T18:00:00Z,09/11 14:00,613.0,,2020-09-11T18:00:00Z,,,,17734.0,541.0,72.0,,259585.0,,,,,,,,,,,10,260,2627,259585,posNeg,259585.0,2887,259585,0,0,6f34f6a51ad60ef179aaeb8d678da35a120494e9,0,0,0,0,0,,0.07213822062137643,2020-09-12
